Bin,Proportion,Sample,Treatment,TimePoint
0.25,0,566,H,0
0.75,0,566,H,0
1.25,0.042398837,566,H,0
1.75,0.018664899,566,H,0
2.25,0.14623501,566,H,0
2.75,0.040297554,566,H,0
3.25,0.11070974,566,H,0
3.75,0.051712864,566,H,0
4.25,0.069845732,566,H,0
4.75,0.027277201,566,H,0
5.25,0.068990839,566,H,0
5.75,0.033163972,566,H,0
6.25,0.051546959,566,H,0
6.75,0.023888157,566,H,0
7.25,0.055379503,566,H,0
7.75,0.033072282,566,H,0
8.25,0.042258197,566,H,0
8.75,0.032338028,566,H,0
9.25,0.047796631,566,H,0
9.75,0.025148548,566,H,0
10.25,0.033476938,566,H,0
10.75,0.014727718,566,H,0
11.25,0.016272231,566,H,0
11.75,0.005120157,566,H,0
12.25,0.007121792,566,H,0
12.75,0.001623223,566,H,0
13.25,0.00058063,566,H,0
13.75,0.00035236,566,H,0
14.25,0,566,H,0
14.75,0,566,H,0
15.25,0,566,H,0
0.25,0,567,H,0
0.75,0,567,H,0
1.25,0.043580711,567,H,0
1.75,0.020271894,567,H,0
2.25,0.180090267,567,H,0
2.75,0.053513663,567,H,0
3.25,0.1524212,567,H,0
3.75,0.073403701,567,H,0
4.25,0.100597137,567,H,0
4.75,0.037206786,567,H,0
5.25,0.082725877,567,H,0
5.75,0.03878303,567,H,0
6.25,0.0559536,567,H,0
6.75,0.023967171,567,H,0
7.25,0.049861827,567,H,0
7.75,0.024170028,567,H,0
8.25,0.022630053,567,H,0
8.75,0.013365012,567,H,0
9.25,0.012568202,567,H,0
9.75,0.004781616,567,H,0
10.25,0.004045263,567,H,0
10.75,0.001713541,567,H,0
11.25,0.001726959,567,H,0
11.75,0.001552827,567,H,0
12.25,0.000718781,567,H,0
12.75,0.000103605,567,H,0
13.25,0.000247251,567,H,0
13.75,0,567,H,0
14.25,0,567,H,0
14.75,0,567,H,0
15.25,0,567,H,0
0.25,0,568,H,0
0.75,0,568,H,0
1.25,0.045569238,568,H,0
1.75,0.022745997,568,H,0
2.25,0.18300231,568,H,0
2.75,0.045757672,568,H,0
3.25,0.116140111,568,H,0
3.75,0.044220431,568,H,0
4.25,0.070628888,568,H,0
4.75,0.03406781,568,H,0
5.25,0.093323169,568,H,0
5.75,0.049231963,568,H,0
6.25,0.082872448,568,H,0
6.75,0.036181691,568,H,0
7.25,0.075866846,568,H,0
7.75,0.035783738,568,H,0
8.25,0.032684459,568,H,0
8.75,0.014233189,568,H,0
9.25,0.009473609,568,H,0
9.75,0.003664555,568,H,0
10.25,0.002339988,568,H,0
10.75,0.001159465,568,H,0
11.25,0.000740448,568,H,0
11.75,0.000158576,568,H,0
12.25,0.000153401,568,H,0
12.75,0,568,H,0
13.25,0,568,H,0
13.75,0,568,H,0
14.25,0,568,H,0
14.75,0,568,H,0
15.25,0,568,H,0
0.25,0,581,C,0
0.75,0,581,C,0
1.25,0.03637304,581,C,0
1.75,0.0165725,581,C,0
2.25,0.1509519,581,C,0
2.75,0.04998157,581,C,0
3.25,0.1493381,581,C,0
3.75,0.06451165,581,C,0
4.25,0.07709401,581,C,0
4.75,0.02688517,581,C,0
5.25,0.05926864,581,C,0
5.75,0.02835216,581,C,0
6.25,0.04406356,581,C,0
6.75,0.02018373,581,C,0
7.25,0.04820915,581,C,0
7.75,0.03144724,581,C,0
8.25,0.03853858,581,C,0
8.75,0.03085867,581,C,0
9.25,0.04128287,581,C,0
9.75,0.01861843,581,C,0
10.25,0.02200618,581,C,0
10.75,0.01154295,581,C,0
11.25,0.0124238,581,C,0
11.75,0.006357901,581,C,0
12.25,0.00578105,581,C,0
12.75,0.003607023,581,C,0
13.25,0.002786112,581,C,0
13.75,0.001735846,581,C,0
14.25,0.000973753,581,C,0
14.75,2.69E-05,581,C,0
15.25,0.000227465,581,C,0
0.25,0,582,C,0
0.75,0,582,C,0
1.25,0.037230659,582,C,0
1.75,0.014927676,582,C,0
2.25,0.146055137,582,C,0
2.75,0.051226932,582,C,0
3.25,0.141421948,582,C,0
3.75,0.060386333,582,C,0
4.25,0.075009512,582,C,0
4.75,0.027991149,582,C,0
5.25,0.06459597,582,C,0
5.75,0.030129695,582,C,0
6.25,0.047514794,582,C,0
6.75,0.022099136,582,C,0
7.25,0.055151216,582,C,0
7.75,0.035570057,582,C,0
8.25,0.046335093,582,C,0
8.75,0.031487115,582,C,0
9.25,0.043136475,582,C,0
9.75,0.017967308,582,C,0
10.25,0.020273796,582,C,0
10.75,0.010607283,582,C,0
11.25,0.011638104,582,C,0
11.75,0.004064553,582,C,0
12.25,0.004148959,582,C,0
12.75,0.00053782,582,C,0
13.25,0.000493283,582,C,0
13.75,0,582,C,0
14.25,0,582,C,0
14.75,0,582,C,0
15.25,0,582,C,0
0.25,0,583,C,0
0.75,0,583,C,0
1.25,0.030448048,583,C,0
1.75,0.013761897,583,C,0
2.25,0.15328232,583,C,0
2.75,0.05525477,583,C,0
3.25,0.145493348,583,C,0
3.75,0.055135461,583,C,0
4.25,0.064397435,583,C,0
4.75,0.026562983,583,C,0
5.25,0.070020094,583,C,0
5.75,0.040488126,583,C,0
6.25,0.069868294,583,C,0
6.75,0.035685132,583,C,0
7.25,0.076637286,583,C,0
7.75,0.038032302,583,C,0
